172;GAL GAL;Gallinago gallinago; ;Taivaanvuohi;Enkelbeckasin;Common Snipe;25;0
173;GAL MED;Gallinago media; ;Heinäkurppa;Dubbelbeckasin;Great Snipe;25;0
174;LIM SCO;Limnodromus scolopaceus; ;Tundrakurppelo;Större beckasinsnäppa;Long-billed Dowitcher;25;0
175;SCO RUS;Scolopax rusticola; ;Lehtokurppa;Morkulla;Eurasian Woodcock;25;0
176;LIM LIM;Limosa limosa; ;Mustapyrstökuiri;Rödspov;Black-tailed Godwit;25;0
177;LIM LAP;Limosa lapponica; ;Punakuiri;Myrspov;Bar-tailed Godwit;25;0
178;NUM MIN;Numenius minutus; ;Taigakuovi;Dvärgspov;Little Curlew;25;0
179;NUM PHA;Numenius phaeopus; ;Pikkukuovi;Småspov;Whimbrel;25;0
180;NUM ARQ;Numenius arquata; ;Kuovi;Storspov;Eurasian Curlew;25;0
181;TRI ERY;Tringa erythropus; ;Mustaviklo;Svartsnäppa;Spotted Redshank;25;0
182;TRI TOT;Tringa totanus; ;Punajalkaviklo;Rödbena;Common Redshank;25;0
183;TRI STA;Tringa stagnatilis; ;Lampiviklo;Dammsnäppa;Marsh Sandpiper;25;0
184;TRI NEB;Tringa nebularia; ;Valkoviklo;Gluttsnäppa;Common Greenshank;25;0
185;TRI FLA;Tringa flavipes; ;Keltajalkaviklo;Mindre gulbena;Lesser Yellowlegs;25;0
186;TRI OCH;Tringa ochropus; ;Metsäviklo;Skogssnäppa;Green Sandpiper;25;0
187;TRI GLA;Tringa glareola; ;Liro;Grönbena;Wood Sandpiper;25;0
188;XEN CIN;Xenus cinereus; ;Rantakurvi;Tereksnäppa;Terek Sandpiper;25;0
189;ACT HYP;Actitis hypoleucos; ;Rantasipi;Drillsnäppa;Common Sandpiper;25;0
190;ACT MAC;Actitis macularius; ;Amerikansipi;Fläckdrillsnäppa;Spotted Sandpiper;25;0
191;CAT SEM;Catoptrophorus semipalmatus; ;Preeriaviklo;Willetsnäppa;Willet;25;0
192;ARE INT;Arenaria interpres; ;Karikukko;Roskarl;Ruddy Turnstone;25;0
193;PHA TRI;Phalaropus tricolor; ;Amerikanvesipääsky;Wilsonsimsnäppa;Wilson's Phalarope;25;0
194;PHA LOB;Phalaropus lobatus; ;Vesipääsky;Smalnäbbad simsnäppa;Red-necked Phalarope;25;0
195;PHA FUL;Phalaropus fulicarius; ;Isovesipääsky;Brednäbbad simsnäppa;Red Phalarope;25;0
196;STE POM;Stercorarius pomarinus; ;Leveäpyrstökihu;Bredstjärtad labb;Pomarine Skua;26;0
197;STE CUS;Stercorarius parasiticus; ;Merikihu;Kustlabb;Arctic Skua;26;0
198;STE LON;Stercorarius longicaudus; ;Tunturikihu;Fjällabb;Long-tailed Skua;26;0
199;CAT SKU;Catharacta skua; ;Isokihu;Storlabb;Great Skua;26;0
200;LAR MEL;Larus melanocephalus; ;Mustanmerenlokki;Svarthuvad mås;Mediterranean Gull;27;0
201;LAR ATR;Larus atricilla; ;Nokisiipilokki;Sotvingad mås;Laughing Gull;27;0
202;LAR PIP;Larus pipixcan; ;Preerianaurulokki;Präriemås;Franklin's Gull;27;0
203;LAR MIN;Larus minutus; ;Pikkulokki;Dvärgmås;Little Gull;27;0
204;LAR SAB;Larus sabini; ;Tiiralokki;Tärnmås;Sabine's Gull;27;0
205;LAR RID;Larus ridibundus; ;Naurulokki;Skrattmås;Black-headed Gull;27;0
206;LAR GEN;Larus genei; ;Kaitanokkalokki;Långnäbbad mås;Slender-billed Gull;27;0
207;LAR CAN;Larus canus; ;Kalalokki;Fiskmås;Mew Gull;27;0
208;LAR FUS;Larus fuscus; ;Selkälokki;Silltrut;Lesser Black-backed Gull;27;0
209;LAR ARG;Larus argentatus; ;Harmaalokki;Gråtrut;Herring Gull;27;0
210;LAR CAC;Larus cachinnans; ;Aroharmaalokki;Kaspisk trut;Caspian Gull;27;0
211;LAR MIC;Larus michahellis; ;Etelänharmaalokki;Medelhavstrut;Yellow-legged Gull;27;0
212;LAR GLA;Larus glaucoides; ;Grönlanninlokki;Vitvingad trut;Iceland Gull;27;0
213;LAR HYP;Larus hyperboreus; ;Isolokki;Vittrut;Glaucous Gull;27;0
214;LAR MAR;Larus marinus; ;Merilokki;Havstrut;Greater Black-backed Gull;27;0
215;RHO ROS;Rhodostethia rosea; ;Ruusulokki;Rosenmås;Ross's Gull;27;0
216;RIS TRI;Rissa tridactyla; ;Pikkukajava;Tretåig mås;Black-legged Kittiwake;27;0
217;PAG EBU;Pagophila eburnea; ;Jäälokki;Ismås;Ivory Gull;27;0
218;STE NIL;Sterna nilotica; ;Hietatiira;Sandtärna;Gull-billed Tern;28;0
219;STE CAS;Sterna caspia; ;Räyskä;Skräntärna;Caspian Tern;28;0
220;STE SAN;Sterna sandvicensis; ;Riuttatiira;Kentsk tärna;Sandwich Tern;28;0
221;STE HIR;Sterna hirundo; ;Kalatiira;Fisktärna;Common Tern;28;0
222;STE AEA;Sterna paradisaea; ;Lapintiira;Silvertärna;Arctic Tern;28;0
223;STE ALB;Sterna albifrons; ;Pikkutiira;Småtärna;Little Tern;28;0
224;CHL HYB;Chlidonias hybrida; ;Valkoposkitiira;Skäggtärna;Whiskered Tern;28;0
225;CHL NIG;Chlidonias niger; ;Mustatiira;Svarttärna;Black Tern;28;0
226;CHL LEU;Chlidonias leucopterus; ;Valkosiipitiira;Vitvingad tärna;White-winged Tern;28;0
227;URI AAL;Uria aalge; ;Etelänkiisla;Sillgrissla;Common Guillemot;29;0
228;URI LOM;Uria lomvia; ;Pohjankiisla;Spetsbergsgrissla;Brünnich's Guillemot;29;0
229;ALC TOR;Alca torda; ;Ruokki;Tordmule;Razorbill;29;0
230;CEP GRY;Cepphus grylle; ;Riskilä;Tobisgrissla;Black Guillemot;29;0
231;ALL ALL;Alle alle; ;Pikkuruokki;Alkekung;Little Auk;29;0
232;FRA ARC;Fratercula arctica; ;Lunni;Lunnefågel;Atlantic Puffin;29;0
